County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Herkimer,1983,820,176,1,40,19,116,644,15,186,256,187
Herkimer,1984,863,174,4,54,18,98,689,15,279,218,177
Herkimer,1985,926,182,8,43,28,103,744,22,279,220,223
Herkimer,1986,944,245,10,59,34,142,699,4,278,191,226
Herkimer,1987,961,217,23,62,21,111,744,28,290,193,233
Herkimer,1988,1009,211,19,51,35,106,798,14,298,233,253
Herkimer,1989,1112,266,51,62,38,115,846,41,277,254,274
Herkimer,1990,1192,259,23,72,28,136,933,21,306,257,349
Herkimer,1991,1178,226,3,76,38,109,952,9,325,237,381
Herkimer,1992,1050,213,10,72,31,100,837,4,295,238,300
Herkimer,1993,1277,269,37,74,34,124,1008,10,392,242,364
Herkimer,1994,1180,253,28,75,39,111,927,22,323,256,326
Herkimer,1995,1247,276,21,63,27,165,971,9,323,237,402
Herkimer,1996,1321,321,24,107,47,143,1000,20,274,248,458
Herkimer,1997,1308,294,27,89,31,147,1014,17,273,239,485
Herkimer,1998,1381,321,32,93,33,163,1060,8,292,274,486
Herkimer,1999,1255,271,26,92,24,129,984,14,277,215,478
Herkimer,2000,1310,299,32,86,23,158,1011,40,274,247,450
Herkimer,2001,1379,310,35,89,32,154,1069,32,282,215,540
Herkimer,2002,1321,309,41,95,35,138,1012,34,286,207,485
Herkimer,2003,1385,334,34,101,31,168,1051,30,283,227,511
Herkimer,2004,1287,305,39,81,39,146,982,32,266,208,476
Herkimer,2005,1330,297,21,95,30,151,1033,53,285,233,462
Herkimer,2006,1427,333,48,81,41,163,1094,52,377,223,442
Herkimer,2007,1483,322,23,65,52,182,1161,52,360,251,498
Herkimer,2008,1402,352,32,101,44,175,1050,34,294,278,444
Herkimer,2009,1317,262,16,75,41,130,1055,45,271,301,438
Herkimer,2010,1308,277,27,55,45,150,1031,51,272,299,409
Herkimer,2011,1326,300,31,68,43,158,1026,68,237,313,408
Herkimer,2012,1358,343,25,78,42,198,1015,66,219,310,420
Herkimer,2013,1282,347,25,80,50,192,935,45,217,293,380
Herkimer,2014,1174,292,30,78,33,151,882,69,190,300,323
Herkimer,2015,1195,305,39,46,38,182,890,70,184,302,334
Jefferson,1970,507,204,32,27,9,136,303,183,8,48,64
Jefferson,1971,558,246,36,31,3,176,312,84,37,117,74
Jefferson,1972,1235,383,141,21,9,212,852,259,149,193,251
Jefferson,1973,1251,397,161,44,4,188,854,215,188,186,265
Jefferson,1974,1237,480,160,57,10,253,757,221,109,206,221
Jefferson,1975,1109,326,71,44,9,202,783,172,131,202,278
Jefferson,1976,1075,395,124,58,13,200,680,112,120,208,240
Jefferson,1977,1055,362,62,52,21,227,693,91,162,196,244
Jefferson,1978,1221,340,20,61,24,235,881,50,340,230,261
Jefferson,1979,1261,340,21,82,42,195,921,35,374,236,276
Jefferson,1980,1382,380,27,73,49,231,1002,29,378,288,307
Jefferson,1981,1317,352,22,70,33,227,965,47,284,319,315
Jefferson,1982,1362,366,27,109,32,198,996,32,358,280,326
Jefferson,1983,1333,334,17,75,42,200,999,44,333,278,344
Jefferson,1984,1346,351,10,93,39,209,995,29,330,287,349
Jefferson,1985,1277,331,12,93,36,190,946,21,406,212,307
Jefferson,1986,1362,413,23,103,37,250,949,36,323,268,322
Jefferson,1987,1601,402,25,96,57,224,1199,44,391,371,393
Jefferson,1988,2080,465,32,108,61,264,1615,65,596,452,502
Jefferson,1989,2560,531,55,134,74,268,2029,91,608,591,739
Jefferson,1990,2914,583,43,126,119,295,2331,106,812,640,773
Jefferson,1991,2842,627,43,138,105,341,2215,48,917,530,720
Jefferson,1992,2856,688,43,183,105,357,2168,59,821,557,731
Jefferson,1993,2670,541,42,125,95,279,2129,64,743,589,733
Jefferson,1994,2728,619,66,151,87,315,2109,55,718,621,715
Jefferson,1995,2684,605,73,141,81,310,2079,56,614,565,844
Jefferson,1996,2668,658,64,158,61,375,2010,38,523,609,840
Jefferson,1997,2759,643,61,152,67,363,2116,44,622,563,887
Jefferson,1998,2934,679,74,136,97,372,2255,107,603,561,984
Jefferson,1999,2777,663,106,147,78,332,2114,97,579,489,949
Jefferson,2000,2524,625,89,131,67,338,1899,56,591,433,819
Jefferson,2001,2376,568,74,123,58,313,1808,66,554,398,790
Jefferson,2002,2626,633,91,123,68,351,1993,73,554,553,813
Jefferson,2003,2523,597,119,121,47,310,1926,94,542,465,825
Jefferson,2004,2667,637,89,161,51,336,2030,91,594,577,768
Jefferson,2005,2624,593,92,130,42,329,2031,77,508,535,911
Jefferson,2006,2838,719,89,153,56,421,2119,84,545,567,923
Jefferson,2007,2726,637,84,130,63,360,2089,101,571,569,848
Jefferson,2008,2893,663,96,137,66,364,2230,101,532,643,954
Jefferson,2009,3158,743,109,143,62,429,2415,124,617,766,908
Jefferson,2010,3051,755,112,162,95,386,2296,113,526,748,909
Jefferson,2011,3133,717,116,152,55,394,2416,102,543,865,906
Jefferson,2012,2971,751,110,148,70,423,2220,101,479,780,860
Jefferson,2013,2757,737,148,122,52,415,2020,96,419,805,700
Jefferson,2014,2605,641,117,109,51,364,1964,112,426,833,593
Jefferson,2015,2593,630,113,103,41,373,1963,119,346,839,659
Kings,1970,34163,22526,6016,5830,35,10645,11637,5789,1010,1883,2955
Kings,1971,38852,25341,4505,7280,35,13521,13511,4512,1049,3250,4700
Kings,1972,41004,23150,2711,8230,38,12171,17854,2842,1896,4923,8193
Kings,1973,33995,19068,1459,8096,26,9487,14927,1567,1633,4329,7398
Kings,1974,38162,21831,1518,9750,13,10550,16331,1772,1366,5776,7417
Kings,1975,41049,22851,1590,10461,6,10794,18198,1912,1116,8537,6633
Kings,1976,44952,26085,1999,11139,18,12929,18867,2653,942,8165,7107
Kings,1977,47357,27785,1815,11274,30,14666,19572,2258,911,8550,7853
Kings,1978,43047,25908,1169,11282,17,13440,17139,1385,754,7486,7514
Kings,1979,41489,24863,1148,11106,6,12603,16626,1273,722,6955,7676
Kings,1980,38557,24280,1134,10901,9,12236,14277,1309,616,6769,5583
Kings,1981,41834,25654,1965,13071,10,10608,16180,2765,501,7596,5318
Kings,1982,46511,26579,2098,14739,63,9679,19932,4196,818,8724,6194
Kings,1983,45957,27401,2400,14874,91,10036,18556,3746,1035,7975,5800
Kings,1984,51686,30930,3786,16328,6,10810,20756,4924,1703,7174,6955
Kings,1985,55069,31692,4875,15514,10,11293,23377,6083,2000,7215,8079
Kings,1986,65201,36878,6692,17581,4,12601,28323,7127,1604,9551,10041
Kings,1987,70261,39140,8629,17649,31,12831,31121,8871,1648,9859,10743
Kings,1988,73634,42707,9628,18670,20,14389,30927,9604,1548,8526,11249
Kings,1989,78112,46923,12557,19150,14,15202,31189,12554,1578,7154,9903
Kings,1990,68679,42667,11554,17552,37,13524,26012,9165,1342,7469,8036
Kings,1991,63377,40758,10398,17391,4,12965,22619,6096,1510,7556,7457
Kings,1992,61479,35913,9547,15585,9,10772,25566,5867,1689,10866,7144
Kings,1993,62790,34899,9432,15378,13,10076,27891,6895,1526,10926,8544
Kings,1994,80225,39631,10042,17725,41,11823,40594,10534,1515,15409,13136
Kings,1995,80746,38835,9777,16674,62,12322,41911,11763,1395,14863,13890
Kings,1996,85099,40024,11566,15930,139,12389,45075,14287,1301,13849,15638
Kings,1997,92177,39625,10464,15541,286,13334,52552,17327,1258,16182,17785
Kings,1998,95021,39189,11053,14786,289,13061,55832,21649,1210,15593,17380
Kings,1999,87142,34169,9180,12895,204,11890,52973,21192,954,14541,16286
Kings,2000,97913,32991,9054,12052,153,11732,64922,31314,948,15503,17157
Kings,2001,91096,31293,7483,11337,186,12287,59803,27928,892,12781,18202
Kings,2002,82484,28182,6100,10527,134,11421,54302,25963,848,10841,16650
Kings,2003,75711,24337,4383,9654,91,10209,51374,22847,1017,11138,16372
Kings,2004,74220,25561,5479,9172,144,10766,48659,17748,1303,12012,17596
Kings,2005,81127,28289,7757,9190,164,11178,52838,19872,1702,12151,19113
Kings,2006,85226,29269,8641,9315,179,11134,55957,22328,2034,12165,19430
Kings,2007,92598,30811,9254,9260,233,12064,61787,26712,2140,12528,20407
Kings,2008,91812,30200,8115,9661,201,12223,61612,24363,2188,15010,20051
Kings,2009,95878,28029,6899,9096,190,11844,67849,27733,2141,17575,20400
Kings,2010,96064,27125,5958,8849,160,12158,68939,27856,1920,18773,20390
Kings,2011,96404,27659,5878,9417,144,12220,68745,27888,1602,19021,20234
Kings,2012,92518,27732,5203,9681,173,12675,64786,22422,1864,20242,20258
Kings,2013,87892,28262,4953,9456,257,13596,59630,17305,2221,19959,20145
Kings,2014,84198,27866,4510,8826,242,14288,56332,15897,2155,19295,18985
Kings,2015,75303,26757,4046,8630,239,13842,48546,11103,1565,18523,17355
Lewis,1970,36,25,0,3,0,22,11,4,1,2,4
Lewis,1971,62,43,9,2,0,32,19,1,5,4,9
Lewis,1972,112,35,2,0,0,33,77,8,16,23,30
Lewis,1973,200,58,2,6,0,50,142,25,24,38,55
Lewis,1974,172,56,9,10,1,36,116,14,12,42,48
Lewis,1975,174,62,15,11,0,36,112,15,11,38,48
Lewis,1976,192,63,9,11,1,42,129,24,12,39,54
Lewis,1977,127,54,3,8,4,39,73,3,18,26,26
Lewis,1978,208,65,2,10,4,49,143,0,63,45,35
Lewis,1979,272,67,0,11,7,49,205,2,100,45,58
Lewis,1980,306,83,11,11,9,52,223,8,94,62,59
Lewis,1981,226,71,4,9,8,50,155,9,65,29,52
Lewis,1982,194,50,0,9,9,32,144,2,72,30,40
Lewis,1983,193,31,1,10,7,13,162,4,67,44,47
Lewis,1984,228,48,2,12,10,24,180,5,83,32,60
Lewis,1985,285,63,1,7,13,42,222,6,83,54,79
Lewis,1986,219,66,4,7,16,39,153,3,74,24,52
Lewis,1987,266,50,1,15,11,23,216,4,77,53,82
Lewis,1988,356,86,1,16,17,52,270,5,108,62,95
Lewis,1989,384,69,0,11,10,48,315,6,127,64,118
Lewis,1990,391,102,1,28,14,59,289,2,128,63,96
Lewis,1991,426,104,6,22,13,63,322,0,136,70,116
Lewis,1992,387,82,5,23,9,45,305,2,121,77,105
Lewis,1993,463,131,7,28,17,79,332,1,135,67,129
Lewis,1994,456,144,7,26,24,87,312,15,111,72,114
Lewis,1995,466,145,9,31,17,88,321,3,107,86,125
Lewis,1996,413,105,3,26,18,58,308,0,79,77,152
Lewis,1997,391,118,4,35,14,65,273,3,73,60,137
Lewis,1998,413,112,11,21,22,58,301,2,87,68,144
Lewis,1999,431,140,1,20,19,100,291,1,99,63,128
Lewis,2000,400,94,1,26,11,56,306,0,102,80,124
Lewis,2001,382,77,5,15,11,46,305,11,113,58,123
Lewis,2002,440,118,6,18,13,81,322,9,114,68,131
Lewis,2003,430,87,3,21,15,48,343,8,104,90,141
Lewis,2004,470,108,12,14,15,67,362,17,108,75,162
Lewis,2005,439,129,9,33,21,66,310,20,103,57,130
Lewis,2006,463,126,28,14,13,71,337,21,94,72,150
Lewis,2007,446,153,30,41,12,70,293,16,89,45,143
Lewis,2008,426,147,22,26,19,80,279,15,79,50,135
Lewis,2009,443,119,14,23,15,67,324,16,108,52,148
Lewis,2010,410,128,12,18,14,84,282,6,106,60,110
Lewis,2011,393,121,12,26,18,65,272,11,70,85,106
Lewis,2012,400,104,7,17,15,65,296,11,77,72,136
Lewis,2013,401,111,17,11,11,72,290,25,57,68,140
Lewis,2014,379,129,30,26,10,63,250,18,66,54,112
Lewis,2015,322,100,19,23,14,44,222,18,50,60,94
Livingston,1970,167,79,19,13,2,45,88,63,0,5,20
Livingston,1971,348,94,23,13,8,50,254,67,69,43,75
Livingston,1972,633,118,37,10,1,70,515,131,157,69,158
Livingston,1973,674,120,43,10,7,60,554,146,150,91,167
Livingston,1974,767,139,54,8,2,75,628,95,129,195,209
Livingston,1975,772,166,17,27,3,119,606,60,152,183,211
Livingston,1976,755,138,21,24,2,91,617,71,100,195,251
Livingston,1977,574,104,1,17,7,79,470,28,69,179,194
Livingston,1978,654,107,7,13,4,83,547,2,117,198,230
Livingston,1979,928,136,8,14,7,107,792,14,175,287,316
Livingston,1980,1079,160,4,24,7,125,919,14,224,294,387
Livingston,1981,1199,182,14,27,5,136,1017,11,272,364,370
Livingston,1982,1324,160,8,40,16,96,1164,15,260,426,463
Livingston,1983,1332,193,10,36,33,114,1139,16,390,355,378
Livingston,1984,1354,159,5,25,26,103,1195,9,414,291,481
Livingston,1985,1509,167,5,43,18,101,1342,18,493,364,467
Livingston,1986,1497,221,20,48,19,134,1276,22,404,357,493
Livingston,1987,1376,175,12,42,18,103,1201,24,420,306,451
Livingston,1988,1394,179,9,58,17,95,1215,13,325,390,487
Livingston,1989,1502,169,11,38,17,103,1333,30,373,366,564
Livingston,1990,1778,240,16,59,27,138,1538,30,473,454,581
Livingston,1991,1703,272,28,67,29,148,1431,28,437,420,546
Livingston,1992,1527,208,25,47,21,115,1319,31,396,400,492
Livingston,1993,1503,218,27,52,28,111,1285,27,407,323,528
Livingston,1994,1377,173,4,31,19,119,1204,15,417,335,437
Livingston,1995,1385,189,5,33,23,128,1196,16,341,376,463
Livingston,1996,1340,220,19,42,25,134,1120,14,277,306,523
Livingston,1997,1382,232,26,45,26,135,1150,29,304,288,529
Livingston,1998,1416,255,26,52,34,143,1161,26,265,308,562
Livingston,1999,1478,258,12,67,34,145,1220,29,308,327,556
Livingston,2000,1439,275,31,66,44,134,1164,30,278,288,568
Livingston,2001,1296,228,27,48,23,130,1068,35,273,304,456
Livingston,2002,1303,249,17,65,30,137,1054,30,294,266,464
Livingston,2003,1425,290,20,66,35,169,1135,52,300,311,472
Livingston,2004,1460,343,28,74,37,204,1117,55,350,261,451
Livingston,2005,1425,302,25,41,41,195,1123,52,357,265,449
Livingston,2006,1398,277,25,56,62,134,1121,37,355,278,451
Livingston,2007,1419,305,22,55,41,187,1114,47,308,283,476
Livingston,2008,1245,276,13,51,41,171,969,40,273,253,403
Livingston,2009,1186,255,38,43,58,116,931,65,216,189,461
Livingston,2010,1203,285,48,32,64,141,918,92,247,220,359
Livingston,2011,1068,232,26,37,57,112,836,68,248,164,356
Livingston,2012,1236,338,35,51,69,183,898,93,202,236,367
Livingston,2013,1202,327,57,47,55,168,875,127,205,229,314
Livingston,2014,1283,394,67,42,53,232,889,124,182,244,339
Livingston,2015,1308,406,60,68,46,232,902,160,226,210,306
Madison,1970,194,102,11,7,1,83,92,4,0,46,42
Madison,1971,365,130,25,17,1,87,235,28,27,96,84
Madison,1972,555,121,30,9,5,77,434,80,82,128,144
Madison,1973,458,111,22,13,4,72,347,77,29,129,112
Madison,1974,540,167,36,26,2,103,373,98,12,113,150
Madison,1975,582,161,20,27,4,110,421,49,56,152,164
Madison,1976,631,170,22,28,5,115,461,48,77,164,172
Madison,1977,766,187,11,32,7,137,579,26,115,218,220
Madison,1978,907,182,15,23,20,124,725,16,187,249,273
Madison,1979,1150,193,10,38,8,137,957,16,287,354,300
Madison,1980,1210,274,8,65,27,174,936,9,344,356,227
Madison,1981,1102,225,13,49,28,135,877,20,327,279,251
Madison,1982,1054,223,17,74,17,115,831,8,343,233,247
Madison,1983,1094,214,3,60,26,125,880,11,361,235,273
Madison,1984,1052,184,4,42,12,126,868,7,348,248,265
Madison,1985,1097,208,5,48,20,135,889,2,361,251,275
Madison,1986,1228,245,9,76,19,141,983,14,339,309,321
Madison,1987,1194,211,16,54,10,131,983,12,337,329,305
Madison,1988,1265,182,7,39,8,128,1083,10,323,341,409
Madison,1989,1422,231,36,59,24,112,1191,16,391,359,425
Madison,1990,1572,236,17,57,17,145,1336,16,490,399,431
Madison,1991,1565,201,20,30,10,141,1364,30,465,393,476
Madison,1992,1584,264,25,62,18,159,1320,16,418,408,478
Madison,1993,1274,203,14,53,11,125,1071,12,303,324,432
Madison,1994,1290,193,22,36,17,118,1097,11,329,363,394
Madison,1995,1346,228,25,69,8,126,1118,21,291,363,443
Madison,1996,1440,232,26,64,7,135,1208,9,283,360,556
Madison,1997,1422,285,22,61,6,196,1137,30,245,348,514
Madison,1998,1447,242,14,61,7,160,1205,23,273,292,617
Madison,1999,1328,265,26,61,5,173,1063,31,261,319,452
Madison,2000,1313,234,9,65,5,155,1079,27,296,253,503
Madison,2001,1198,222,9,69,7,137,976,26,275,270,405
Madison,2002,1409,295,31,84,7,173,1114,47,291,314,462
Madison,2003,1439,297,29,56,18,194,1142,45,360,281,456
Madison,2004,1321,312,19,67,27,199,1009,35,309,283,382
Madison,2005,1202,272,27,42,30,173,930,51,274,253,352
Madison,2006,1260,293,17,84,25,167,967,43,282,265,377
Madison,2007,1333,305,34,60,16,195,1028,50,331,244,403
Madison,2008,1437,362,23,81,16,242,1075,47,327,321,380
Madison,2009,1346,272,15,62,17,178,1074,60,297,310,407
Madison,2010,1231,265,20,45,43,157,966,71,279,264,352
Madison,2011,1200,241,33,43,19,146,959,66,239,270,384
Madison,2012,1361,275,34,59,38,144,1086,90,224,326,446
Madison,2013,1139,271,25,50,36,160,868,53,188,275,352
Madison,2014,1208,311,46,63,38,164,897,70,182,329,316
Madison,2015,1177,325,46,57,31,191,852,76,170,277,329
Monroe,1970,3472,1849,275,516,18,1040,1623,400,307,348,568
Monroe,1971,5182,1950,265,503,25,1157,3232,447,581,915,1289
Monroe,1972,8748,2423,444,619,18,1342,6325,599,843,2093,2790
Monroe,1973,8385,2164,363,588,33,1180,6221,713,877,2046,2585
Monroe,1974,10035,3057,608,745,34,1670,6978,784,787,2613,2794
Monroe,1975,10320,3570,548,905,37,2080,6750,555,657,2650,2888
Monroe,1976,11151,3367,433,910,68,1956,7784,617,907,3218,3042
Monroe,1977,11165,3550,291,918,64,2277,7615,305,1090,3261,2959
Monroe,1978,10921,2928,170,858,101,1799,7993,174,1513,3484,2822
Monroe,1979,12583,2968,168,902,169,1729,9615,211,2143,3882,3379
Monroe,1980,12964,2948,154,828,222,1744,10016,167,2674,4072,3103
Monroe,1981,13322,3091,129,1004,275,1683,10231,217,2740,3940,3334
Monroe,1982,13690,3146,101,1150,265,1630,10544,248,2555,4164,3577
Monroe,1983,14277,3170,174,1130,307,1559,11107,292,2796,4392,3627
Monroe,1984,14030,3097,165,1071,342,1519,10933,270,2787,3894,3982
Monroe,1985,14464,3416,152,1262,322,1680,11048,283,2159,4388,4218
Monroe,1986,15985,3885,334,1371,359,1821,12100,315,2153,4908,4724
Monroe,1987,16689,3645,349,1298,427,1571,13044,369,2047,5642,4986
Monroe,1988,18146,4217,603,1432,389,1793,13929,669,1989,5835,5436
Monroe,1989,21858,5464,1124,1568,367,2405,16394,1004,1789,7092,6509
Monroe,1990,22323,5683,1099,1733,440,2411,16640,743,2017,7290,6590
Monroe,1991,21400,5224,868,1715,381,2260,16176,573,1939,7081,6583
Monroe,1992,20220,5220,999,1722,427,2072,15000,615,1785,6725,5875
Monroe,1993,18702,4786,937,1560,352,1937,13916,731,1676,6224,5285
Monroe,1994,19072,4646,1048,1545,359,1694,14426,903,1789,5991,5743
Monroe,1995,20114,4805,958,1474,374,1999,15309,997,1929,6063,6320
Monroe,1996,21312,5101,1141,1474,367,2119,16211,1157,2083,5982,6989
Monroe,1997,19737,5328,1113,1323,428,2464,14409,1004,2227,5617,5561
Monroe,1998,20439,5679,1481,1344,501,2353,14760,1130,2683,5390,5557
Monroe,1999,19711,5412,1430,1238,469,2275,14299,1184,2754,5038,5323
Monroe,2000,19069,5458,1322,1267,574,2295,13611,1142,2312,4886,5271
Monroe,2001,18307,5101,1051,1254,494,2302,13206,938,2046,5004,5218
Monroe,2002,18295,5109,1115,1275,426,2293,13186,1166,1961,4958,5101
Monroe,2003,17158,4607,888,1222,395,2102,12551,917,1997,4913,4724
Monroe,2004,17129,4644,834,1214,412,2184,12485,916,2087,4776,4706
Monroe,2005,16870,4480,763,1224,413,2080,12390,891,1957,4822,4720
Monroe,2006,16969,4747,862,1404,438,2043,12222,1001,1971,4591,4659
Monroe,2007,16580,4695,846,1306,432,2111,11885,995,2026,4456,4408
Monroe,2008,17833,4982,888,1431,481,2182,12851,1242,2171,4657,4781
Monroe,2009,18261,4882,719,1386,444,2333,13379,1200,2065,5221,4893
Monroe,2010,19198,5219,788,1517,448,2466,13979,1151,2194,5505,5129
Monroe,2011,19290,5201,696,1426,477,2602,14089,1087,2358,5420,5224
Monroe,2012,18424,4960,592,1353,428,2587,13464,1319,2031,5387,4727
Monroe,2013,17257,4742,586,1351,416,2389,12515,1164,1962,5053,4336
Monroe,2014,15842,4457,482,1226,368,2381,11385,850,1937,4920,3678
Monroe,2015,15258,4570,539,1208,388,2435,10688,803,1885,4416,3584
Montgomery,1970,147,94,12,8,3,71,53,20,0,6,27
Montgomery,1971,184,91,17,9,0,65,93,16,15,28,34
Montgomery,1972,361,114,22,20,1,71,247,39,35,60,113
Montgomery,1973,374,115,22,9,1,83,259,19,45,91,104
Montgomery,1974,527,173,40,22,0,111,354,39,65,122,128
Montgomery,1975,620,168,31,31,6,100,452,43,109,145,155
Montgomery,1976,581,142,10,20,4,108,439,49,100,159,131
Montgomery,1977,628,171,16,31,13,111,457,26,120,126,185
Montgomery,1978,713,165,23,23,17,102,548,28,172,157,191
Montgomery,1979,699,187,10,50,11,116,512,4,138,180,190
Montgomery,1980,586,127,3,29,11,84,459,10,150,164,135
Montgomery,1981,632,109,7,27,16,59,523,13,186,181,143
Montgomery,1982,727,152,7,36,25,84,575,26,162,187,200
Montgomery,1983,883,196,13,34,36,113,687,15,269,213,190
Montgomery,1984,974,177,18,27,30,102,797,28,331,232,206
Montgomery,1985,982,158,18,24,30,86,824,43,306,256,219
Montgomery,1986,1140,198,24,38,48,88,942,53,462,198,229
Montgomery,1987,1034,195,36,51,32,76,839,35,371,231,202
Montgomery,1988,1208,255,52,48,47,108,953,51,398,257,247
Montgomery,1989,1352,307,78,51,59,119,1045,51,390,314,290
Montgomery,1990,1424,308,84,35,55,134,1116,39,381,293,403
Montgomery,1991,1423,284,76,46,50,112,1139,41,329,363,406
Montgomery,1992,1285,225,63,30,36,96,1060,45,323,298,394
Montgomery,1993,1261,252,57,54,40,101,1009,37,343,272,357
Montgomery,1994,1184,170,24,33,29,84,1014,31,284,286,413
Montgomery,1995,1435,227,41,49,39,98,1208,30,283,327,568
Montgomery,1996,1652,289,71,51,27,140,1363,94,276,351,642
Montgomery,1997,1422,277,42,55,23,157,1145,46,229,277,593
Montgomery,1998,1477,293,51,54,27,161,1184,56,215,325,588
Montgomery,1999,1578,326,67,54,42,163,1252,57,238,313,644
Montgomery,2000,1349,268,30,46,31,161,1081,46,230,274,531
Montgomery,2001,1226,272,47,62,31,132,954,28,188,234,504
Montgomery,2002,1199,286,33,44,36,173,913,34,211,225,443
Montgomery,2003,1178,299,48,57,25,169,879,51,158,239,431
Montgomery,2004,1093,272,44,47,30,151,821,25,178,201,417
Montgomery,2005,1226,334,50,68,29,187,892,44,179,269,400
Montgomery,2006,1197,321,47,60,29,185,876,48,193,222,413
Montgomery,2007,1160,317,58,58,33,168,843,36,208,216,383
Montgomery,2008,1129,269,26,54,42,147,860,46,201,253,360
Montgomery,2009,1146,302,66,61,25,150,844,39,178,253,374
Montgomery,2010,1181,354,51,71,45,187,827,42,209,224,352
Montgomery,2011,1308,382,74,70,51,187,926,90,199,242,395
Montgomery,2012,1212,356,67,55,40,194,856,66,144,269,377
Montgomery,2013,1285,405,106,79,27,193,880,67,160,295,358
Montgomery,2014,1240,324,61,64,22,177,916,78,125,390,323
Montgomery,2015,1188,330,56,63,28,183,858,71,124,345,318
Nassau,1970,9246,3312,897,717,22,1676,5934,1973,1462,1743,756
Nassau,1971,10656,3927,887,922,33,2085,6729,1526,2062,2106,1035
Nassau,1972,13283,4258,1176,931,70,2081,9025,1376,3339,2434,1876
Nassau,1973,14797,4344,1382,1059,75,1828,10453,1715,4405,2414,1919
Nassau,1974,15807,4246,1211,986,74,1975,11561,1875,4419,3236,2031
Nassau,1975,15020,4144,778,1036,95,2235,10876,1188,3853,3832,2003
Nassau,1976,13880,3963,643,1017,62,2241,9917,1082,2890,4086,1859
Nassau,1977,13414,3997,567,1086,59,2285,9417,830,2466,4252,1869
Nassau,1978,13519,3964,301,1091,57,2515,9555,801,2471,4134,2149
Nassau,1979,14758,4444,387,1203,95,2759,10314,893,2334,4697,2390
Nassau,1980,15826,5003,507,1312,92,3092,10823,1015,3006,4287,2515
Nassau,1981,15225,4635,465,1381,112,2677,10590,985,3304,4071,2230
Nassau,1982,16317,4785,507,1625,153,2500,11532,953,4133,4101,2345
Nassau,1983,15173,4435,334,1561,153,2387,10738,939,3838,3620,2341
Nassau,1984,16724,4660,471,1591,183,2415,12064,1035,4774,3691,2564
Nassau,1985,17483,4978,426,1602,247,2703,12505,1065,4531,3820,3089
Nassau,1986,17234,5313,705,1592,336,2680,11921,1301,3768,3871,2981
Nassau,1987,18228,5277,909,1574,300,2494,12951,1202,3618,4952,3179
Nassau,1988,19893,6188,1396,1689,336,2767,13705,1413,4035,4983,3274
Nassau,1989,19986,6509,1771,1628,392,2718,13477,1200,4338,4744,3195
Nassau,1990,20223,6517,1423,1667,486,2941,13706,889,4919,4937,2961
Nassau,1991,19926,6466,1348,1858,365,2895,13460,869,4456,5060,3075
Nassau,1992,18415,5999,1328,1668,280,2723,12416,834,3754,4759,3069
Nassau,1993,18750,6138,1101,1763,337,2937,12612,831,3960,4683,3138
Nassau,1994,19233,6358,1121,1703,327,3207,12875,1209,3600,4604,3462
Nassau,1995,19807,6152,965,1730,366,3091,13655,1240,3433,5432,3550
Nassau,1996,22065,6448,1112,1688,389,3259,15617,1240,4115,6133,4129
Nassau,1997,21429,6311,1116,1679,367,3149,15118,1481,4135,5594,3908
Nassau,1998,19264,5753,998,1616,299,2840,13511,1216,3779,4785,3731
Nassau,1999,16318,5251,914,1539,270,2528,11067,1082,2564,4005,3416
Nassau,2000,15777,5074,852,1440,261,2521,10703,1144,2464,3721,3374
Nassau,2001,16482,5568,991,1549,244,2784,10914,1169,2636,3672,3437
Nassau,2002,16422,5410,932,1637,229,2612,11012,1186,2749,3538,3539
Nassau,2003,16886,5540,872,1570,246,2852,11346,1349,2820,3614,3563
Nassau,2004,17054,5485,901,1525,268,2791,11569,1421,3395,3516,3237
Nassau,2005,16884,5717,975,1577,260,2905,11167,1381,3074,3388,3324
Nassau,2006,18043,6187,951,1610,274,3352,11856,1649,2957,3500,3750
Nassau,2007,17622,5953,1007,1541,280,3125,11669,1716,2972,3429,3552
Nassau,2008,18173,6036,972,1595,340,3129,12137,1728,3077,3803,3529
Nassau,2009,18869,6178,942,1674,268,3294,12691,1717,2796,4315,3863
Nassau,2010,18982,6211,982,1519,326,3384,12771,1703,2631,4372,4065
Nassau,2011,17520,5655,704,1578,306,3067,11865,1583,2171,4327,3784
Nassau,2012,17908,5907,879,1578,271,3179,12001,2137,2098,3884,3882
Nassau,2013,17253,5780,793,1462,266,3259,11473,2350,1916,3478,3729
Nassau,2014,16343,5360,756,1300,261,3043,10983,2200,2088,3438,3257
Nassau,2015,16541,5165,817,1294,249,2805,11376,2914,2100,3130,3232
New York,1970,51773,28535,10473,6542,15,11505,23238,8447,516,4142,10133
New York,1971,55783,29883,7966,8110,11,13796,25900,7412,495,6101,11892
New York,1972,57023,28075,4348,9878,23,13826,28948,5977,994,9447,12530
New York,1973,49393,25559,3489,9411,9,12650,23834,3873,1032,7800,11129
New York,1974,52600,27070,3738,10024,22,13286,25530,4065,940,9227,11298
New York,1975,53677,26198,3838,9473,5,12882,27479,4307,639,12095,10438
New York,1976,62795,30445,5757,9802,22,14864,32350,5177,467,12237,14469
New York,1977,76739,33527,6444,9971,20,17092,43212,6579,456,15083,21094
New York,1978,75673,30801,4789,10199,26,15787,44872,5711,474,16193,22494
